Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
xml-f053486-1,1,1,nan,nan,nan,nan
xml-f053486-1,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,2,2,nan,nan,nan,nan
xml-f053486-1,9,8,0.0,1.0,0.0,1.0
xml-f053486-1,8,7,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,5,1,-0.31622776601683794,0.4795001221869535,-0.35355339059327373,0.5594043441634877
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,6,6,nan,nan,nan,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,2,2,nan,nan,nan,nan
xml-f053486-1,11,6,1.0,0.3333333333333333,1.0,0.0
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,1,1,nan,nan,nan,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,2,2,nan,nan,nan,nan
xml-f053486-1,8,7,0.0,1.0,0.0,1.0
xml-f053486-1,5,4,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,6,6,nan,nan,nan,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,2,2,nan,nan,nan,nan
xml-f053486-1,9,8,nan,nan,nan,nan
xml-f053486-1,1,1,nan,nan,nan,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,3,3,nan,nan,nan,nan
xml-f053486-1,2,2,nan,nan,nan,nan
xml-f053486-1,9,9,nan,nan,nan,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-f053486-1,2,1,-1.0,1.0,-0.9999999999999999,nan
