Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
xml-327c8af-1,5,1,-0.6324555320336759,0.15729920705028516,-0.7071067811865475,0.18169011381620928
xml-327c8af-1,5,1,nan,nan,nan,nan
xml-327c8af-1,4,1,nan,nan,nan,nan
xml-327c8af-1,1,1,nan,nan,nan,nan
xml-327c8af-1,1,1,nan,nan,nan,nan
xml-1e9bc83-9,7,2,-0.36514837167011066,0.3545394797735013,-0.4140393356054126,0.4144300825009162
xml-1e9bc83-9,5,1,-0.6324555320336759,0.15729920705028516,-0.7071067811865475,0.18169011381620928
xml-1e9bc83-9,1,1,nan,nan,nan,nan
xml-1e9bc83-9,6,1,nan,nan,nan,nan
xml-1e9bc83-9,5,1,nan,nan,nan,nan
xml-1e9bc83-9,4,1,nan,nan,nan,nan
xml-1e9bc83-9,2,1,nan,nan,nan,nan
xml-1e9bc83-9,2,2,nan,nan,nan,nan
xml-1e9bc83-9,1,1,nan,nan,nan,nan
xml-1e9bc83-9,1,1,nan,nan,nan,nan
xml-1e9bc83-9,1,1,nan,nan,nan,nan
xml-1e9bc83-9,2,2,nan,nan,nan,nan
xml-1e9bc83-9,1,1,nan,nan,nan,nan
xml-1e9bc83-9,1,1,nan,nan,nan,nan
xml-1e9bc83-9,1,1,nan,nan,nan,nan
xml-4c99b96-6,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-4c99b96-6,5,2,nan,nan,nan,nan
xml-4c99b96-6,2,2,nan,nan,nan,nan
xml-4c99b96-6,2,2,nan,nan,nan,nan
xml-8ede045-1,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-8ede045-1,5,1,nan,nan,nan,nan
xml-8ede045-1,3,1,nan,nan,nan,nan
xml-8ede045-1,2,1,nan,nan,nan,nan
xml-8ede045-1,1,1,nan,nan,nan,nan
xml-8ede045-1,1,1,nan,nan,nan,nan
xml-8ede045-1,1,1,nan,nan,nan,nan
xml-8ede045-1,1,1,nan,nan,nan,nan
xml-8ede045-1,1,1,nan,nan,nan,nan
xml-8ede045-1,1,1,nan,nan,nan,nan
xml-2d4ec80-1,13,1,-0.2597943666588219,0.31063545633740075,-0.30569920271880274,0.3338931364506602
xml-2d4ec80-1,2,2,nan,nan,nan,nan
xml-2d4ec80-1,2,2,nan,nan,nan,nan
xml-2d4ec80-1,2,2,nan,nan,nan,nan
xml-8ede045-8,5,1,-0.6324555320336759,0.15729920705028516,-0.7071067811865475,0.18169011381620928
xml-8ede045-8,4,1,-0.2357022603955159,0.6547208460185769,-0.2581988897471611,0.7418011102528389
xml-8ede045-8,4,1,nan,nan,nan,nan
xml-8ede045-8,3,1,nan,nan,nan,nan
xml-8ede045-8,1,1,nan,nan,nan,nan
xml-8ede045-8,1,1,nan,nan,nan,nan
xml-8ede045-8,1,1,nan,nan,nan,nan
xml-8ede045-8,1,1,nan,nan,nan,nan
xml-8ede045-8,1,1,nan,nan,nan,nan
xml-8ede045-8,1,1,nan,nan,nan,nan
xml-8ede045-8,1,1,nan,nan,nan,nan
xml-071d221-1,2,2,nan,nan,nan,nan
xml-071d221-1,2,2,nan,nan,nan,nan
xml-071d221-1,2,2,nan,nan,nan,nan
xml-8ede045-7,6,1,-0.5773502691896257,0.1432349075246697,-0.6546536707079772,0.15830242337545783
xml-8ede045-7,4,2,0.0,1.0,0.0,1.0
xml-8ede045-7,6,1,nan,nan,nan,nan
xml-8ede045-7,5,1,nan,nan,nan,nan
xml-8ede045-7,4,1,nan,nan,nan,nan
xml-8ede045-7,3,1,nan,nan,nan,nan
xml-8ede045-7,2,2,nan,nan,nan,nan
xml-8ede045-7,1,1,nan,nan,nan,nan
xml-8ede045-7,1,1,nan,nan,nan,nan
xml-8ede045-7,1,1,nan,nan,nan,nan
xml-8ede045-7,1,1,nan,nan,nan,nan
xml-8ede045-7,2,2,nan,nan,nan,nan
xml-8ede045-7,1,1,nan,nan,nan,nan
xml-8ede045-7,1,1,nan,nan,nan,nan
xml-8ede045-7,1,1,nan,nan,nan,nan
